Installed Packages
plymouth-scripts.riscv64           0.9.5-5.20210331git1ea1020.an8
                                                        @koji-an8f36-build-12516
policycoreutils.riscv64            3.3-4.an8            @koji-an8f36-build-12516
polkit.riscv64                     0.120-4.an8          @koji-an8f36-build-12516
polkit-libs.riscv64                0.120-4.an8          @koji-an8f36-build-12516
polkit-pkla-compat.riscv64         0.1-21.an8           @koji-an8f36-build-12516
popt.riscv64                       1.18-7.an8           @koji-an8f36-build-12516
procps-ng.riscv64                  3.3.17-4.an8         @koji-an8f36-build-12516
protobuf-c.riscv64                 1.4.0-1.an8          @koji-an8f36-build-12516
psmisc.riscv64                     23.4-3.an8           @koji-an8f36-build-12516
publicsuffix-list-dafsa.noarch     20210518-4.an8       @koji-an8f36-build-12516
python-pip-wheel.noarch            21.3.1-2.an8         @koji-an8f36-build-12516
python-setuptools-wheel.noarch     59.6.0-2.an8         @koji-an8f36-build-12516
python-unversioned-command.noarch  3.10.2-3.an8         @koji-an8f36-build-12516
python3.riscv64                    3.10.2-3.an8         @koji-an8f36-build-12516
python3-dateutil.noarch            1:2.8.1-8.an8        @koji-an8f36-build-12516
python3-dbus.riscv64               1.2.18-3.an8         @koji-an8f36-build-12516
python3-distro.noarch              1.6.0-2.an8          @koji-an8f36-build-12516
python3-dnf.noarch                 4.10.0-2.an8         @koji-an8f36-build-12516
python3-dnf-plugins-core.noarch    4.0.24-2.an8         @koji-an8f36-build-12516
python3-firewall.noarch            1.0.1-3.an8          @koji-an8f36-build-12516
python3-gobject-base.riscv64       3.42.0-3.an8         @koji-an8f36-build-12516
python3-gpg.riscv64                1.16.0-1.an8         @koji-an8f36-build-12516
python3-hawkey.riscv64             0.65.0-2.an8         @koji-an8f36-build-12516
python3-libcomps.riscv64           0.1.18-2.an8         @koji-an8f36-build-12516
python3-libdnf.riscv64             0.65.0-2.an8         @koji-an8f36-build-12516
python3-libs.riscv64               3.10.2-3.an8         @koji-an8f36-build-12516
python3-nftables.riscv64           1:1.0.1-3.an8        @koji-an8f36-build-12516
python3-rpm.riscv64                4.17.0-9.an8         @koji-an8f36-build-12516
python3-six.noarch                 1.16.0-5.an8         @koji-an8f36-build-12516
python3-unbound.riscv64            1.13.2-5.an8         @koji-an8f36-build-12516
qrencode-libs.riscv64              4.1.1-2.an8          @koji-an8f36-build-12516
readline.riscv64                   8.1-6.an8            @koji-an8f36-build-12516
rootfiles.noarch                   8.1-31.an8           @koji-an8f36-build-12516
rpm.riscv64                        4.17.0-9.an8         @koji-an8f36-build-12516
rpm-build-libs.riscv64             4.17.0-9.an8         @koji-an8f36-build-12516
rpm-libs.riscv64                   4.17.0-9.an8         @koji-an8f36-build-12516
rpm-plugin-selinux.riscv64         4.17.0-9.an8         @koji-an8f36-build-12516
rpm-plugin-systemd-inhibit.riscv64 4.17.0-9.an8         @koji-an8f36-build-12516
rpm-sign-libs.riscv64              4.17.0-9.an8         @koji-an8f36-build-12516
sed.riscv64                        4.8-10.an8           @koji-an8f36-build-12516
selinux-policy.noarch              36.4-1.an8           @koji-an8f36-build-12516
selinux-policy-targeted.noarch     36.4-1.an8           @koji-an8f36-build-12516
setup.noarch                       2.13.9.1-3.an8       @koji-an8f36-build-12516
shadow-utils.riscv64               2:4.11.1-2.an8       @koji-an8f36-build-12516
sqlite-libs.riscv64                3.36.0-5.an8         @koji-an8f36-build-12516
sssd-client.riscv64                2.6.3-1.an8          @koji-an8f36-build-12516
sssd-common.riscv64                2.6.3-1.an8          @koji-an8f36-build-12516
sssd-kcm.riscv64                   2.6.3-1.an8          @koji-an8f36-build-12516
sudo.riscv64                       1.9.8-3.p2.an8       @koji-an8f36-build-12516
systemd.riscv64                    250.3-8.0.an8        @koji-an8f36-build-12516
systemd-libs.riscv64               250.3-8.0.an8        @koji-an8f36-build-12516
systemd-pam.riscv64                250.3-8.0.an8        @koji-an8f36-build-12516
systemd-udev.riscv64               250.3-8.0.an8        @koji-an8f36-build-12516
tpm2-tss.riscv64                   3.2.0-1.an8          @koji-an8f36-build-12516
tzdata.noarch                      2021e-3.an8          @koji-an8f36-build-12516
uboot-tools.riscv64                2022.04-2.an8        @koji-an8f36-build-12516
unbound-libs.riscv64               1.13.2-5.an8         @koji-an8f36-build-12516
util-linux.riscv64                 2.38-0.3.an8         @koji-an8f36-build-12516
util-linux-core.riscv64            2.38-0.3.an8         @koji-an8f36-build-12516
vim-data.noarch                    2:8.2.4386-1.an8     @koji-an8f36-build-12516
vim-minimal.riscv64                2:8.2.4386-1.an8     @koji-an8f36-build-12516
xz.riscv64                         5.2.5-8.an8          @koji-an8f36-build-12516
xz-libs.riscv64                    5.2.5-8.an8          @koji-an8f36-build-12516
yum.noarch                         4.10.0-2.an8         @koji-an8f36-build-12516
zchunk-libs.riscv64                1.1.15-4.an8         @koji-an8f36-build-12516
zd1211-firmware.noarch             1.5-10.an8           @koji-an8f36-build-12516
zlib.riscv64                       1.2.11-31.an8        @koji-an8f36-build-12516
